Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,53.560001,55.009998,53.189999,54.459999,54.022934,23524200
2018-10-18,54.169998,54.400002,52.759998,53.099998,52.673851,22533300
2018-10-19,53.080002,53.630001,52.860001,52.889999,52.465534,19521000
2018-10-22,53.070000,53.169998,51.560001,51.650002,51.235489,17621500
2018-10-23,50.840000,51.950001,50.470001,51.560001,51.146210,25529800
2018-10-24,51.310001,51.490002,50.020000,50.189999,49.787205,31161500
2018-10-25,50.529999,52.610001,50.419998,51.860001,51.443802,29366100
2018-10-26,51.320000,51.930000,50.790001,51.250000,50.838699,30053800
2018-10-29,51.880001,53.150002,51.590000,52.230000,51.810833,30541300
2018-10-30,52.450001,52.910000,51.869999,52.689999,52.267139,24910900
2018-10-31,53.040001,54.029999,53.029999,53.230000,52.802807,23667400
2018-11-01,53.430000,53.959999,53.150002,53.560001,53.130161,17654800
2018-11-02,54.209999,54.630001,53.110001,53.610001,53.179760,18285600
2018-11-05,53.730000,54.299999,51.160000,53.660000,53.229355,18990000
2018-11-06,53.360001,53.709999,52.959999,53.549999,53.120239,20696800
2018-11-07,53.820000,54.180000,52.790001,53.580002,53.150002,20668500
2018-11-08,52.900002,53.599998,52.860001,53.160000,53.160000,22429200
2018-11-09,53.090000,53.389999,52.730000,53.040001,53.040001,18972200
2018-11-12,53.130001,53.580002,52.279999,52.349998,52.349998,19003300
2018-11-13,52.619999,53.330002,52.619999,52.740002,52.740002,28102000
2018-11-14,53.139999,53.290001,51.490002,52.150002,52.150002,24788400
2018-11-15,51.540001,52.910000,51.279999,52.820000,52.820000,23220100
2018-11-16,52.650002,53.180000,52.480000,52.939999,52.939999,18872500
2018-11-19,52.970001,53.480000,52.599998,53.320000,53.320000,20215500
2018-11-20,53.049999,53.240002,52.360001,52.540001,52.540001,22999200
2018-11-21,52.619999,53.200001,52.270000,52.430000,52.430000,16946300
2018-11-23,51.970001,52.290001,51.610001,51.830002,51.830002,11139400
2018-11-26,52.330002,53.180000,52.330002,52.880001,52.880001,20581700
2018-11-27,52.689999,53.320000,52.450001,53.189999,53.189999,18044600
2018-11-28,53.150002,54.360001,52.580002,54.349998,54.349998,23713300
2018-11-29,53.970001,54.419998,53.790001,54.040001,54.040001,14978400
2018-11-30,54.080002,54.549999,53.869999,54.279999,54.279999,18939000
2018-12-03,54.779999,55.040001,53.599998,54.240002,54.240002,21261700
2018-12-04,53.950001,53.990002,51.509998,51.779999,51.779999,33280500
2018-12-06,50.650002,51.139999,50.020000,51.090000,51.090000,40310200
2018-12-07,50.889999,51.450001,50.049999,50.259998,50.259998,28510500
2018-12-10,50.070000,50.070000,48.299999,48.799999,48.799999,34524600
2018-12-11,49.410000,49.590000,47.549999,47.759998,47.759998,32388600
2018-12-12,48.290001,48.299999,46.849998,47.740002,47.740002,42820000
2018-12-13,47.970001,48.119999,46.930000,47.029999,47.029999,35227100
2018-12-14,46.549999,47.490002,46.380001,46.540001,46.540001,25913000
2018-12-17,46.220001,47.310001,46.119999,46.610001,46.610001,29443300
2018-12-18,46.939999,47.520000,46.320000,46.520000,46.520000,26740000
2018-12-19,46.389999,47.430000,45.299999,45.669998,45.669998,34287600
